"diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
1.0,,0.51,2.2726,,0.774,0.520,,,
2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S
1.5,,0.25,3.065,,0.819,0.481,,Q,Q
3.4,,,5.22,,,,,V,
0.6,,,,,,,,,
1.649,,0.245,2.384,,,,,Q,
,,,,,,,,,
1.80,,0.4328,26,,,,,Sq,
0.3,,,3.35,,0.770,0.500,,Sq,CSU
4.9,,0.231,2.3581,,,,,S,
6.25,,0.1066,3.604,,,,,B,F
0.3,,0.357,3.5327,,1.022,0.503,,,
0.7,,0.21,,,,,,,
1.5,,0.16,2.7053,,,,,Cb,
0.5,,0.18,9.012,,0.859,0.522,,,S
4,,0.05,3.5736,,0.666,0.279,,,CF
0.42,,0.52,44.4,,,,,O,
5.4,1.70x2.03x4.26,0.405,176.,,,,,Sk,
3.651,,0.097,3.5595,,,,,Sq,
,,,56.48,,,,,,
1.849,"2.35 x 1.65 x 1.44",0.297,67.5,,,,,,
,,,8.008,,,,,,
0.33,,0.55,15.1749,,,,,Xe,
1.4,,0.092,4.095,,,,,,
,,,14.218,,,,,,
,,,56.3,,,,,,
,,,6.653,,,,,,
0.55,,0.48,5.3375,,,,,V,
,,,2.496,,,,,,
,,,2.7602,,,,,,
,,,3.5558,,,,,,
0.53,,0.151,6.026,,,,,Q,
,,,2.69,,,,,,
1.8,,0.448,2.58988,,,,,,
0.982,,0.235,4.2096,,,,,Sq,
1.052,,0.277,2.5999,,,,,S,
,,,42.2,,,,,B,
1.602,,0.075,2.3896,,,,,S,
0.7,,,50.09,,,,,,
1.568,,0.217,4.845,,,,,U,
1.0,,0.3,3.045,,,,,,
0.938,,0.318,7.319,,,,,S:,
0.738,,0.142,73,,,,,S,
1.663,,0.232,2.575,,,,,S:,
2.060,,0.199,3.893,,,,,S:,
0.562,,0.511,33.644,,,,,S,
0.9,,,,,0.684,0.492,,,
,,,2.8985,,,,,Sq,
,,,,,,,,Sq,
,,,10.24,,,,,,
,,,2.5325,,,,,,
0.33,0.535x0.294x0.209,,12.132,2.1e-9,,,,S(IV),
,,,2.572,,,,,,
,,,,,,,,,
1.3,,0.070,2.1216,,,,,,
,,,5.807,,,,,,
0.432,,0.654,3.697,,,,,,
0.929,,0.408,2.6236,,,,,Sk,
0.704,,0.772,3.259,,,,,Xk,
,,,3.5301,,,,,,
,,,2.6556,,,,,,
,,,216,,,,,,
1.554,,0.184,,,,,,,
0.204,,0.267,,,,,,,
1.0,,,14.28,,,,,,
1.75,,,4.112,,,,,,
7.,,,143.7,,,,,X:,
,,,5.03,,,,,,
,,,,,,,,,
,,,,,,,,,
0.843,,0.222,43,,,,,,
0.918,,0.033,7.746,,,,,B,
,,,7.1125,,,,,,
,,,20.33,,,,,,
0.78,"0.797 x 0.783 x 0.761",,2.2593,,,,,S,
,,,3,,,,,,
1.317,"1.532 x 1.495 x 1.347",,2.7645,,,,,S:,
,,,,,,,,,
,,,,,,,,,
0.994,,0.449,2.429,,,,,,
0.736,,0.291,4.987,,,,,,
,,,6.354,,,,,,
,,,,,,,,,
1.182,,0.289,,,,,,,
1.650,,0.178,45.24,,,,,,
,,,13.894,,,,,,
1.1,,0.242,,,,,,,
,,,5.057,,,,,,
,,,11.6,,,,,,
,,,,,,,,,
3.484,,0.076,5.37,,,,,,
0.939,,0.042,55.,,,,,C,
,,,2.5141,,,,,Sq,
1.462,,0.056,7.6638,,,,,K,
0.451,,0.095,6.538,,,,,Xk,
2.22,,0.14,122.2,,,,,Q,
0.802,,0.301,3.0239,,,,,Sq,
,,,2.5712,,,,,,
0.800,,0.252,38.56,,,,,,
,,,6.73,,,,,,
,,,14.39,,,,,,
5.067,,0.079,2.6149,,,,,,
,,,3.265,,,,,,
1.407,,0.224,5.527,,,,,,
2.233,,0.294,7.879,,,,,,
0.572,,0.493,505.,,,,,,
0.968,,0.062,43.58,,,,,,
